system,questions,exact_match,f1,retrieval_hit,answer_context_consistency,average_retrieval_latency,average_generation_latency,average_total_latency,average_llm_generations,average_input_tokens,average_output_tokens,average_peak_gpu_memory_mb
Fixed RAG,500,0.184,0.43495459009325227,0.842,0.5771206983663772,0.009036091406363994,1.8455125142056494,2.5477740868157706,1.0,775.326,22.372,4869.062780273437
Adaptive RAG,500,0.194,0.45778783235090237,0.888,0.6255519246771339,0.08022841840563343,53.14774216439901,62.252509893234816,25.0,24334.738,595.512,5576.55344921875
Oracle,500,0.406,0.6612365738019621,0.896,0.4545955713933994,0.008687524197157473,5.294127271194011,6.108479602190666,3.0,2673.774,62.806,5227.676307617187
