query_id,adaptive_candidate_id,oracle_candidate_id,adaptive_candidate_f1,oracle_f1,selection_regret,zero_regret,oracle_agreement
56de49a8cffd8e1900b4b7a7,bge_small_c512_k3,minilm_c256_k3,0.18181818181818182,1.0,0.8181818181818181,0.0,0.0
56de4c324396321400ee27ac,bge_small_c512_k3,minilm_c256_k3,0.3636363636363636,1.0,0.6363636363636365,0.0,0.0
56de51c64396321400ee27f7,minilm_c256_k3,bge_small_c256_k3,0.18181818181818182,0.5,0.3181818181818182,0.0,0.0
56df9e2838dc4217001520f6,bge_small_c256_k5,minilm_c256_k3,1.0,1.0,0.0,1.0,0.0
56dfa01738dc42170015211f,minilm_c256_k3,bge_small_c256_k5,0.36734693877551017,0.43902439024390244,0.07167745146839227,0.0,0.0
56dfa2c54a1a83140091ebf5,bge_small_c512_k3,minilm_c256_k3,0.4,0.4,0.0,1.0,0.0
56dfb5777aa994140058e023,minilm_c256_k3,minilm_c256_k3,0.9047619047619047,0.9047619047619047,0.0,1.0,1.0
56e08a1f7aa994140058e5da,bge_small_c256_k3,minilm_c256_k5,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0
56e0bb9f7aa994140058e6ce,bge_small_c512_k3,minilm_c512_k3,0.19999999999999998,0.6666666666666666,0.4666666666666667,0.0,0.0
56e0c2307aa994140058e6e0,bge_small_c256_k3,bge_small_c512_k3,0.5,1.0,0.5,0.0,0.0
56e0d402231d4119001ac3fc,bge_small_c512_k5,minilm_c512_k5,0.2857142857142857,1.0,0.7142857142857143,0.0,0.0
56e0d402231d4119001ac3fd,bge_small_c512_k5,minilm_c256_k5,0.5,0.6,0.09999999999999998,0.0,0.0
56e0d6367aa994140058e773,bge_small_c256_k3,bge_small_c256_k5,0.0,0.35294117647058826,0.35294117647058826,0.0,0.0
56e0d9e0231d4119001ac43e,bge_small_c512_k3,bge_small_c256_k3,0.25,1.0,0.75,0.0,0.0
56e0f32d231d4119001ac4cb,bge_small_c512_k5,bge_small_c256_k5,0.2222222222222222,1.0,0.7777777777777778,0.0,0.0
56e100b6cd28a01900c67406,bge_small_c256_k3,minilm_c256_k3,0.4,0.5714285714285715,0.17142857142857149,0.0,0.0
56e10412e3433e1400422abe,bge_small_c256_k5,bge_small_c256_k3,0.8627450980392156,0.8846153846153846,0.021870286576168962,0.0,0.0
56e1075ae3433e1400422afc,bge_small_c512_k5,bge_small_c256_k5,0.33333333333333337,0.33333333333333337,0.0,1.0,0.0
56e1097dcd28a01900c67491,bge_small_c256_k5,bge_small_c256_k3,0.45454545454545453,0.631578947368421,0.1770334928229665,0.0,0.0
56e10b6ee3433e1400422b25,bge_small_c256_k5,bge_small_c512_k3,0.3076923076923077,0.5,0.1923076923076923,0.0,0.0
56e10d2dcd28a01900c674da,bge_small_c512_k5,minilm_c256_k3,0.4444444444444445,0.4444444444444445,0.0,1.0,0.0
56e1127bcd28a01900c67549,bge_small_c512_k3,minilm_c512_k5,0.2857142857142857,1.0,0.7142857142857143,0.0,0.0
56e1127bcd28a01900c6754d,bge_small_c512_k5,bge_small_c256_k3,0.3157894736842105,0.35294117647058826,0.03715170278637775,0.0,0.0
56e11ba9cd28a01900c675d7,bge_small_c256_k3,minilm_c256_k3,0.4,0.4,0.0,1.0,0.0
56e11c24e3433e1400422c1b,bge_small_c512_k3,bge_small_c512_k3,0.5,0.5,0.0,1.0,1.0
56e120a1e3433e1400422c38,bge_small_c512_k5,bge_small_c256_k3,0.0,1.0,1.0,0.0,0.0
56e1239acd28a01900c67642,bge_small_c512_k5,minilm_c256_k5,0.06666666666666667,0.10526315789473684,0.03859649122807017,0.0,0.0
56e126dae3433e1400422c7e,bge_small_c256_k3,minilm_c256_k3,0.18181818181818182,0.18181818181818182,0.0,1.0,0.0
56e127bccd28a01900c6765f,bge_small_c256_k5,minilm_c512_k5,0.0,0.5,0.5,0.0,0.0
56e16839cd28a01900c67888,bge_small_c512_k3,minilm_c256_k3,0.1702127659574468,0.2285714285714286,0.05835866261398179,0.0,0.0
56e17e6ee3433e1400422f7f,bge_small_c512_k3,minilm_c256_k5,0.0,1.0,1.0,0.0,0.0
56e1b169cd28a01900c67a73,bge_small_c256_k5,bge_small_c512_k3,0.0,0.2666666666666667,0.2666666666666667,0.0,0.0
56e1b62ecd28a01900c67aa6,bge_small_c256_k3,minilm_c512_k5,0.052631578947368425,1.0,0.9473684210526315,0.0,0.0
56e1bd4acd28a01900c67afc,bge_small_c256_k5,minilm_c256_k3,1.0,1.0,0.0,1.0,0.0
56e1c0f6cd28a01900c67b2d,bge_small_c256_k3,minilm_c256_k3,0.0,0.0,0.0,1.0,0.0
56e1c4fce3433e1400423152,bge_small_c512_k3,minilm_c256_k3,0.5,0.5,0.0,1.0,0.0
56e1c7e2cd28a01900c67b74,bge_small_c256_k3,minilm_c256_k3,0.5555555555555556,0.5555555555555556,0.0,1.0,0.0
56e1ddfce3433e14004231d8,bge_small_c256_k3,minilm_c512_k3,0.16666666666666669,1.0,0.8333333333333333,0.0,0.0
